%###############################################################
%               Frequency                        |S11|
%                                            insertion loss
%                 (GHz)                           (dB)
%###############################################################
                  27.678                      -1.8329636
                  27.681                      -1.8326486
                  27.684                      -1.8323358
                  27.687                      -1.8320251
                   27.69                      -1.8317165
                  27.693                      -1.8314101
                  27.696                      -1.8311058
                  27.699                      -1.8308037
                  27.702                      -1.8305038
                  27.705                       -1.830206
                  27.708                      -1.8299104
                  27.711                       -1.829617
                  27.714                      -1.8293258
                  27.717                      -1.8290368
                   27.72                        -1.82875
                  27.723                      -1.8284654
                  27.726                      -1.8281831
                  27.729                      -1.8279029
                  27.732                       -1.827625
                  27.735                      -1.8273493
                  27.738                      -1.8270758
                  27.741                      -1.8268046
                  27.744                      -1.8265355
                  27.747                      -1.8262688
                   27.75                      -1.8260042
                  27.753                      -1.8257419
                  27.756                      -1.8254818
                  27.759                       -1.825224
                  27.762                      -1.8249684
                  27.765                       -1.824715
                  27.768                      -1.8244638
                  27.771                      -1.8242149
                  27.774                      -1.8239683
                  27.777                      -1.8237238
                   27.78                      -1.8234816
                  27.783                      -1.8232417
                  27.786                      -1.8230039
                  27.789                      -1.8227684
                  27.792                      -1.8225351
                  27.795                       -1.822304
                  27.798                      -1.8220751
                  27.801                      -1.8218484
                  27.804                      -1.8216239
                  27.807                      -1.8214017
                   27.81                      -1.8211816
                  27.813                      -1.8209637
                  27.816                      -1.8207481
                  27.819                      -1.8205346
                  27.822                      -1.8203232
                  27.825                      -1.8201141
                  27.828                      -1.8199071
                  27.831                      -1.8197023
                  27.834                      -1.8194996
                  27.837                      -1.8192991
                   27.84                      -1.8191008
                  27.843                      -1.8189045
                  27.846                      -1.8187104
                  27.849                      -1.8185185
                  27.852                      -1.8183286
                  27.855                      -1.8181409
                  27.858                      -1.8179552
                  27.861                      -1.8177717
                  27.864                      -1.8175902
                  27.867                      -1.8174109
                   27.87                      -1.8172336
                  27.873                      -1.8170584
                  27.876                      -1.8168852
                  27.879                      -1.8167141
                  27.882                       -1.816545
                  27.885                       -1.816378
                  27.888                       -1.816213
                  27.891                        -1.81605
                  27.894                       -1.815889
                  27.897                      -1.8157301
                    27.9                      -1.8155731
                  27.903                      -1.8154182
                  27.906                      -1.8152652
                  27.909                      -1.8151141
                  27.912                      -1.8149651
                  27.915                       -1.814818
                  27.918                      -1.8146728
                  27.921                      -1.8145296
                  27.924                      -1.8143883
                  27.927                       -1.814249
                   27.93                      -1.8141116
                  27.933                       -1.813976
                  27.936                      -1.8138424
                  27.939                      -1.8137106
                  27.942                      -1.8135808
                  27.945                      -1.8134528
                  27.948                      -1.8133267
                  27.951                      -1.8132024
                  27.954                        -1.81308
                  27.957                      -1.8129594
                   27.96                      -1.8128406
                  27.963                      -1.8127237
                  27.966                      -1.8126086
                  27.969                      -1.8124953
                  27.972                      -1.8123838
                  27.975                      -1.8122741
                  27.978                      -1.8121662
                  27.981                      -1.8120601
                  27.984                      -1.8119557
                  27.987                      -1.8118531
                   27.99                      -1.8117523
                  27.993                      -1.8116532
                  27.996                      -1.8115558
                  27.999                      -1.8114602
                  28.002                      -1.8113663
                  28.005                      -1.8112741
                  28.008                      -1.8111836
                  28.011                      -1.8110949
                  28.014                      -1.8110078
                  28.017                      -1.8109224
                   28.02                      -1.8108388
                  28.023                      -1.8107567
                  28.026                      -1.8106764
                  28.029                      -1.8105977
                  28.032                      -1.8105207
                  28.035                      -1.8104454
                  28.038                      -1.8103717
                  28.041                      -1.8102996
                  28.044                      -1.8102292
                  28.047                      -1.8101604
                   28.05                      -1.8100932
                  28.053                      -1.8100277
                  28.056                      -1.8099637
