%###############################################################
%               Frequency                        |S11|
%                                             return loss
%                 (GHz)                           (dB)
%###############################################################
                  27.726                      -22.649595
                  27.729                      -22.691571
                  27.732                      -22.733691
                  27.735                      -22.775953
                  27.738                      -22.818359
                  27.741                      -22.860908
                  27.744                      -22.903603
                  27.747                      -22.946442
                   27.75                      -22.989427
                  27.753                      -23.032559
                  27.756                      -23.075838
                  27.759                      -23.119265
                  27.762                       -23.16284
                  27.765                      -23.206565
                  27.768                       -23.25044
                  27.771                      -23.294465
                  27.774                      -23.338642
                  27.777                      -23.382971
                   27.78                      -23.427454
                  27.783                      -23.472091
                  27.786                      -23.516883
                  27.789                       -23.56183
                  27.792                      -23.606935
                  27.795                      -23.652197
                  27.798                      -23.697619
                  27.801                        -23.7432
                  27.804                      -23.788943
                  27.807                      -23.834847
                   27.81                      -23.880915
                  27.813                      -23.927147
                  27.816                      -23.973545
                  27.819                       -24.02011
                  27.822                      -24.066842
                  27.825                      -24.113744
                  27.828                      -24.160817
                  27.831                      -24.208062
                  27.834                      -24.255481
                  27.837                      -24.303075
                   27.84                      -24.350845
                  27.843                      -24.398793
                  27.846                       -24.44692
                  27.849                      -24.495229
                  27.852                       -24.54372
                  27.855                      -24.592396
                  27.858                      -24.641258
                  27.861                      -24.690309
                  27.864                      -24.739549
                  27.867                       -24.78898
                   27.87                      -24.838606
                  27.873                      -24.888427
                  27.876                      -24.938445
                  27.879                      -24.988663
                  27.882                      -25.039083
                  27.885                      -25.089706
                  27.888                      -25.140536
                  27.891                      -25.191574
                  27.894                      -25.242823
                  27.897                      -25.294285
                    27.9                      -25.345963
                  27.903                      -25.397858
                  27.906                      -25.449974
                  27.909                      -25.502313
                  27.912                      -25.554878
                  27.915                      -25.607671
                  27.918                      -25.660696
                  27.921                      -25.713955
                  27.924                      -25.767451
                  27.927                      -25.821187
                   27.93                      -25.875167
                  27.933                      -25.929392
                  27.936                      -25.983867
                  27.939                      -26.038595
                  27.942                      -26.093579
                  27.945                      -26.148823
                  27.948                      -26.204329
                  27.951                      -26.260103
                  27.954                      -26.316146
                  27.957                      -26.372463
                   27.96                      -26.429059
                  27.963                      -26.485936
                  27.966                      -26.543098
                  27.969                      -26.600551
                  27.972                      -26.658297
                  27.975                      -26.716342
                  27.978                      -26.774689
                  27.981                      -26.833344
                  27.984                       -26.89231
                  27.987                      -26.951592
                   27.99                      -27.011195
                  27.993                      -27.071125
                  27.996                      -27.131385
                  27.999                       -27.19198
                  28.002                      -27.252918
                  28.005                      -27.314201
                  28.008                      -27.375836
                  28.011                      -27.437829
                  28.014                      -27.500185
                  28.017                       -27.56291
                   28.02                      -27.626009
                  28.023                      -27.689489
                  28.026                      -27.753357
                  28.029                      -27.817617
                  28.032                      -27.882278
                  28.035                      -27.947345
                  28.038                      -28.012825
                  28.041                      -28.078725
                  28.044                      -28.145052
                  28.047                      -28.211814
                   28.05                      -28.279018
                  28.053                      -28.346671
                  28.056                      -28.414782
                  28.059                      -28.483357
                  28.062                      -28.552406
                  28.065                      -28.621936
                  28.068                      -28.691956
                  28.071                      -28.762475
                  28.074                      -28.833502
                  28.077                      -28.905045
                   28.08                      -28.977115
                  28.083                       -29.04972
                  28.086                      -29.122871
                  28.089                      -29.196577
                  28.092                      -29.270849
                  28.095                      -29.345697
                  28.098                      -29.421132
                  28.101                      -29.497166
                  28.104                      -29.573809
