%###############################################################
%               Frequency                        |S41|
%                                              isolation
%                 (GHz)                           (dB)
%###############################################################
                  27.726                      -39.890525
                  27.729                      -39.909592
                  27.732                      -39.928615
                  27.735                      -39.947592
                  27.738                      -39.966525
                  27.741                      -39.985412
                  27.744                      -40.004254
                  27.747                       -40.02305
                   27.75                      -40.041801
                  27.753                      -40.060506
                  27.756                      -40.079165
                  27.759                      -40.097778
                  27.762                      -40.116345
                  27.765                      -40.134865
                  27.768                      -40.153339
                  27.771                      -40.171766
                  27.774                      -40.190146
                  27.777                      -40.208479
                   27.78                      -40.226765
                  27.783                      -40.245004
                  27.786                      -40.263194
                  27.789                      -40.281337
                  27.792                      -40.299432
                  27.795                      -40.317479
                  27.798                      -40.335477
                  27.801                      -40.353427
                  27.804                      -40.371327
                  27.807                      -40.389179
                   27.81                      -40.406981
                  27.813                      -40.424734
                  27.816                      -40.442437
                  27.819                       -40.46009
                  27.822                      -40.477692
                  27.825                      -40.495245
                  27.828                      -40.512746
                  27.831                      -40.530196
                  27.834                      -40.547595
                  27.837                      -40.564943
                   27.84                      -40.582238
                  27.843                      -40.599482
                  27.846                      -40.616672
                  27.849                      -40.633811
                  27.852                      -40.650896
                  27.855                      -40.667928
                  27.858                      -40.684906
                  27.861                       -40.70183
                  27.864                        -40.7187
                  27.867                      -40.735515
                   27.87                      -40.752276
                  27.873                      -40.768981
                  27.876                       -40.78563
                  27.879                      -40.802224
                  27.882                      -40.818761
                  27.885                      -40.835241
                  27.888                      -40.851665
                  27.891                      -40.868031
                  27.894                      -40.884339
                  27.897                      -40.900589
                    27.9                       -40.91678
                  27.903                      -40.932912
                  27.906                      -40.948985
                  27.909                      -40.964998
                  27.912                      -40.980951
                  27.915                      -40.996844
                  27.918                      -41.012675
                  27.921                      -41.028445
                  27.924                      -41.044153
                  27.927                      -41.059798
                   27.93                      -41.075381
                  27.933                      -41.090901
                  27.936                      -41.106357
                  27.939                      -41.121749
                  27.942                      -41.137076
                  27.945                      -41.152338
                  27.948                      -41.167535
                  27.951                      -41.182665
                  27.954                      -41.197729
                  27.957                      -41.212727
                   27.96                      -41.227656
                  27.963                      -41.242518
                  27.966                      -41.257311
                  27.969                      -41.272036
                  27.972                      -41.286691
                  27.975                      -41.301276
                  27.978                       -41.31579
                  27.981                      -41.330234
                  27.984                      -41.344606
                  27.987                      -41.358906
                   27.99                      -41.373133
                  27.993                      -41.387287
                  27.996                      -41.401368
                  27.999                      -41.415375
                  28.002                      -41.429306
                  28.005                      -41.443163
                  28.008                      -41.456944
                  28.011                      -41.470648
                  28.014                      -41.484276
                  28.017                      -41.497826
                   28.02                      -41.511299
                  28.023                      -41.524693
                  28.026                      -41.538007
                  28.029                      -41.551243
                  28.032                      -41.564398
                  28.035                      -41.577472
                  28.038                      -41.590465
                  28.041                      -41.603376
                  28.044                      -41.616205
                  28.047                      -41.628951
                   28.05                      -41.641613
                  28.053                      -41.654192
                  28.056                      -41.666686
                  28.059                      -41.679094
                  28.062                      -41.691417
                  28.065                      -41.703654
                  28.068                      -41.715804
                  28.071                      -41.727866
                  28.074                      -41.739841
                  28.077                      -41.751727
                   28.08                      -41.763524
                  28.083                      -41.775232
                  28.086                      -41.786849
                  28.089                      -41.798377
                  28.092                      -41.809812
                  28.095                      -41.821157
                  28.098                      -41.832409
                  28.101                      -41.843568
                  28.104                      -41.854635
                  28.107                      -41.865607
                   28.11                      -41.876485
                  28.113                      -41.887269
                  28.116                      -41.897958
                  28.119                       -41.90855
                  28.122                      -41.919047
                  28.125                      -41.929447
                  28.128                       -41.93975
                  28.131                      -41.949955
                  28.134                      -41.960062
                  28.137                      -41.970071
                   28.14                      -41.979981
                  28.143                      -41.989791
                  28.146                      -41.999502
                  28.149                      -42.009113
                  28.152                      -42.018622
                  28.155                      -42.028031
                  28.158                      -42.037339
                  28.161                      -42.046544
                  28.164                      -42.055648
