%###############################################################
%               Frequency                        |S11|
%                                             return loss
%                 (GHz)                           (dB)
%###############################################################
                  27.726                      -20.750902
                  27.729                      -20.751681
                  27.732                      -20.752457
                  27.735                      -20.753229
                  27.738                      -20.753998
                  27.741                      -20.754763
                  27.744                      -20.755526
                  27.747                      -20.756285
                   27.75                      -20.757041
                  27.753                      -20.757794
                  27.756                      -20.758545
                  27.759                      -20.759292
                  27.762                      -20.760036
                  27.765                      -20.760777
                  27.768                      -20.761515
                  27.771                       -20.76225
                  27.774                      -20.762982
                  27.777                      -20.763711
                   27.78                      -20.764438
                  27.783                      -20.765161
                  27.786                      -20.765882
                  27.789                        -20.7666
                  27.792                      -20.767316
                  27.795                      -20.768028
                  27.798                      -20.768738
                  27.801                      -20.769445
                  27.804                      -20.770149
                  27.807                      -20.770851
                   27.81                      -20.771549
                  27.813                      -20.772245
                  27.816                      -20.772939
                  27.819                       -20.77363
                  27.822                      -20.774318
                  27.825                      -20.775003
                  27.828                      -20.775685
                  27.831                      -20.776365
                  27.834                      -20.777043
                  27.837                      -20.777717
                   27.84                      -20.778389
                  27.843                      -20.779058
                  27.846                      -20.779724
                  27.849                      -20.780388
                  27.852                      -20.781049
                  27.855                      -20.781707
                  27.858                      -20.782362
                  27.861                      -20.783014
                  27.864                      -20.783664
                  27.867                       -20.78431
                   27.87                      -20.784954
                  27.873                      -20.785595
                  27.876                      -20.786232
                  27.879                      -20.786867
                  27.882                      -20.787498
                  27.885                      -20.788127
                  27.888                      -20.788752
                  27.891                      -20.789373
                  27.894                      -20.789992
                  27.897                      -20.790607
                    27.9                      -20.791219
                  27.903                      -20.791827
                  27.906                      -20.792431
                  27.909                      -20.793032
                  27.912                      -20.793629
                  27.915                      -20.794222
                  27.918                      -20.794811
                  27.921                      -20.795396
                  27.924                      -20.795977
                  27.927                      -20.796553
                   27.93                      -20.797125
                  27.933                      -20.797693
                  27.936                      -20.798255
                  27.939                      -20.798813
                  27.942                      -20.799366
                  27.945                      -20.799914
                  27.948                      -20.800457
                  27.951                      -20.800995
                  27.954                      -20.801527
                  27.957                      -20.802053
                   27.96                      -20.802573
                  27.963                      -20.803088
                  27.966                      -20.803596
                  27.969                      -20.804098
                  27.972                      -20.804594
                  27.975                      -20.805082
                  27.978                      -20.805565
                  27.981                       -20.80604
                  27.984                      -20.806508
                  27.987                      -20.806969
                   27.99                      -20.807422
                  27.993                      -20.807869
                  27.996                      -20.808307
                  27.999                      -20.808738
                  28.002                      -20.809161
                  28.005                      -20.809576
                  28.008                      -20.809984
                  28.011                      -20.810383
                  28.014                      -20.810775
                  28.017                      -20.811159
